stderr: Reading additional input from stdin...
stderr: 2026-06-27T13:50:46.797239Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-60wvuptv/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T13:50:46.798563Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-60wvuptv/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T13:50:50.266648Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-60wvuptv/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T13:50:50.282927Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.282947Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.283356Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.283368Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.283864Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.283876Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.284299Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.284308Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.284802Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.284810Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.285750Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T13:50:50.285760Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
