stderr: Reading additional input from stdin...
stderr: 2026-06-28T00:26:17.044758Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:26:17.046103Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:26:30.507321Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:26:30.534750Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.534780Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.535852Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.535874Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.536676Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.536695Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.537411Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.537433Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.538158Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.538181Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.539780Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:30.539827Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:26:41.514015Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:26:55.259275Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:27:05.462200Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-pwph_2z6/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
