stderr: Reading additional input from stdin...
stderr: 2026-06-28T00:46:50.441731Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:46:50.443589Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:46:54.816982Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:46:54.851262Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.851297Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.852106Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.852130Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.853302Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.853338Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.854635Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.854661Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.855771Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.855807Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.858116Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:46:54.858158Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-28T00:47:12.038528Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:16.866863Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:20.829171Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:25.424552Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:32.933701Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:38.330363Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-28T00:47:42.163396Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-0qynqag8/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
