stderr: Reading additional input from stdin...
stderr: 2026-07-01T05:10:18.394465Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:10:18.395614Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:10:36.744770Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:10:36.774669Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.774693Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.775722Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.775739Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.776611Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.776633Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.777365Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.777381Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.778093Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.778117Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.780526Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:36.780541Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-07-01T05:10:42.821875Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:10:48.191792Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:10:52.936027Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:11:07.589328Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-07-01T05:11:24.481032Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-kgonf9s3/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
